index_col,constituent_col,coef
col_50,col_26,0.538075
col_50,col_28,0.237172
col_50,col_32,0.224753
col_11,col_28,0.466818
col_11,col_20,0.212762
col_11,col_26,0.183169
col_11,col_07,0.074628
col_11,col_22,0.062622
col_42,col_26,0.595536
col_42,col_28,0.404464
col_48,col_05,0.545363
col_48,col_45,0.134828
col_48,col_23,0.126882
col_48,col_04,0.096838
col_48,col_26,0.096089
col_46,col_30,0.066832
col_46,col_34,0.225872
col_46,col_32,0.11626
col_46,col_15,0.287519
col_46,col_05,0.072676
col_46,col_09,0.104648
col_46,col_23,0.075189
col_46,col_37,0.025663
col_46,col_20,0.025339
col_30,col_26,0.197639
col_30,col_34,0.146513
col_30,col_09,0.15322
col_30,col_19,0.200073
col_30,col_40,0.131448
col_30,col_24,0.051546
col_30,col_45,0.078508
col_30,col_29,0.018914
col_30,col_28,0.022137
